item_id,store_id,ts,demand,price
item_001,store_001,10/1/17,305.824943,$103.00
item_001,store_001,11/1/17,276.9429397,$110.80
item_001,store_001,12/1/17,277.6081895,$110.80
item_001,store_001,1/1/18,275.9406219,$110.80
item_001,store_001,2/1/18,272.3870602,$110.80
item_001,store_001,3/1/18,267.8996784,$110.80
item_001,store_001,4/1/18,281.3366764,$106.11
item_001,store_001,5/1/18,278.3280503,$106.11
item_001,store_001,6/1/18,277.618256,$106.11
item_001,store_001,7/1/18,279.3974823,$106.11
item_001,store_001,8/1/18,283.188987,$106.11
item_001,store_001,9/1/18,287.9768394,$106.11
item_001,store_001,10/1/18,237.0859178,$122.05
item_001,store_001,11/1/18,239.5247424,$122.05
item_001,store_001,12/1/18,240.1001093,$122.05
item_001,store_001,1/1/19,238.6578494,$122.05
item_001,store_001,2/1/19,420.2716985,$82.98
item_001,store_001,3/1/19,350.8235979,$92.56
item_001,store_001,4/1/19,345.2989229,$92.56
item_001,store_001,5/1/19,314.5510937,$97.80
item_001,store_001,6/1/19,313.7489231,$97.80
item_001,store_001,7/1/19,315.7597071,$97.80
item_001,store_001,8/1/19,320.0446577,$97.80
item_001,store_001,9/1/19,325.4556259,$97.80
item_001,store_001,10/1/19,,$99.00
item_001,store_001,11/1/19,,$99.00
item_001,store_001,12/1/19,,$99.00
item_001,store_002,10/1/17,305.824943,$103.00
item_001,store_002,11/1/17,276.9429397,$110.80
item_001,store_002,12/1/17,277.6081895,$110.80
item_001,store_002,1/1/18,275.9406219,$110.80
item_001,store_002,2/1/18,272.3870602,$110.80
item_001,store_002,3/1/18,267.8996784,$110.80
item_001,store_002,4/1/18,281.3366764,$106.11
item_001,store_002,5/1/18,278.3280503,$106.11
item_001,store_002,6/1/18,277.618256,$106.11
item_001,store_002,7/1/18,279.3974823,$106.11
item_001,store_002,8/1/18,283.188987,$106.11
item_001,store_002,9/1/18,287.9768394,$106.11
item_001,store_002,10/1/18,237.0859178,$122.05
item_001,store_002,11/1/18,239.5247424,$122.05
item_001,store_002,12/1/18,240.1001093,$122.05
item_001,store_002,1/1/19,238.6578494,$122.05
item_001,store_002,2/1/19,420.2716985,$82.98
item_001,store_002,3/1/19,350.8235979,$92.56
item_001,store_002,4/1/19,345.2989229,$92.56
item_001,store_002,5/1/19,314.5510937,$97.80
item_001,store_002,6/1/19,313.7489231,$97.80
item_001,store_002,7/1/19,315.7597071,$97.80
item_001,store_002,8/1/19,320.0446577,$97.80
item_001,store_002,9/1/19,325.4556259,$97.80
item_001,store_002,10/1/19,,$101.00
item_001,store_002,11/1/19,,$101.00
item_001,store_002,12/1/19,,$101.00
item_001,store_003,10/1/17,305.824943,$103.00
item_001,store_003,11/1/17,276.9429397,$110.80
item_001,store_003,12/1/17,277.6081895,$110.80
item_001,store_003,1/1/18,275.9406219,$110.80
item_001,store_003,2/1/18,272.3870602,$110.80
item_001,store_003,3/1/18,267.8996784,$110.80
item_001,store_003,4/1/18,281.3366764,$106.11
item_001,store_003,5/1/18,278.3280503,$106.11
item_001,store_003,6/1/18,277.618256,$106.11
item_001,store_003,7/1/18,279.3974823,$106.11
item_001,store_003,8/1/18,283.188987,$106.11
item_001,store_003,9/1/18,287.9768394,$106.11
item_001,store_003,10/1/18,237.0859178,$122.05
item_001,store_003,11/1/18,239.5247424,$122.05
item_001,store_003,12/1/18,240.1001093,$122.05
item_001,store_003,1/1/19,238.6578494,$122.05
item_001,store_003,2/1/19,420.2716985,$82.98
item_001,store_003,3/1/19,350.8235979,$92.56
item_001,store_003,4/1/19,345.2989229,$92.56
item_001,store_003,5/1/19,314.5510937,$97.80
item_001,store_003,6/1/19,313.7489231,$97.80
item_001,store_003,7/1/19,315.7597071,$97.80
item_001,store_003,8/1/19,320.0446577,$97.80
item_001,store_003,9/1/19,325.4556259,$97.80
item_001,store_003,10/1/19,,$97.80
item_001,store_003,11/1/19,,$97.80
item_001,store_003,12/1/19,,$97.80
item_001,store_004,10/1/17,305.824943,$103.00
item_001,store_004,11/1/17,276.9429397,$110.80
item_001,store_004,12/1/17,277.6081895,$110.80
item_001,store_004,1/1/18,275.9406219,$110.80
item_001,store_004,2/1/18,272.3870602,$110.80
item_001,store_004,3/1/18,267.8996784,$110.80
item_001,store_004,4/1/18,281.3366764,$106.11
item_001,store_004,5/1/18,278.3280503,$106.11
item_001,store_004,6/1/18,277.618256,$106.11
item_001,store_004,7/1/18,279.3974823,$106.11
item_001,store_004,8/1/18,283.188987,$106.11
item_001,store_004,9/1/18,287.9768394,$106.11
item_001,store_004,10/1/18,237.0859178,$122.05
item_001,store_004,11/1/18,239.5247424,$122.05
item_001,store_004,12/1/18,240.1001093,$122.05
item_001,store_004,1/1/19,238.6578494,$122.05
item_001,store_004,2/1/19,420.2716985,$82.98
item_001,store_004,3/1/19,350.8235979,$92.56
item_001,store_004,4/1/19,345.2989229,$92.56
item_001,store_004,5/1/19,314.5510937,$97.80
item_001,store_004,6/1/19,313.7489231,$97.80
item_001,store_004,7/1/19,315.7597071,$97.80
item_001,store_004,8/1/19,320.0446577,$97.80
item_001,store_004,9/1/19,325.4556259,$97.80
item_001,store_004,10/1/19,,$97.80
item_001,store_004,11/1/19,,$97.80
item_001,store_004,12/1/19,,$97.80
item_001,store_005,10/1/17,305.824943,$103.00
item_001,store_005,11/1/17,276.9429397,$110.80
item_001,store_005,12/1/17,277.6081895,$110.80
item_001,store_005,1/1/18,275.9406219,$110.80
item_001,store_005,2/1/18,272.3870602,$110.80
item_001,store_005,3/1/18,267.8996784,$110.80
item_001,store_005,4/1/18,281.3366764,$106.11
item_001,store_005,5/1/18,278.3280503,$106.11
item_001,store_005,6/1/18,277.618256,$106.11
item_001,store_005,7/1/18,279.3974823,$106.11
item_001,store_005,8/1/18,283.188987,$106.11
item_001,store_005,9/1/18,287.9768394,$106.11
item_001,store_005,10/1/18,237.0859178,$122.05
item_001,store_005,11/1/18,239.5247424,$122.05
item_001,store_005,12/1/18,240.1001093,$122.05
item_001,store_005,1/1/19,238.6578494,$122.05
item_001,store_005,2/1/19,420.2716985,$82.98
item_001,store_005,3/1/19,350.8235979,$92.56
item_001,store_005,4/1/19,345.2989229,$92.56
item_001,store_005,5/1/19,314.5510937,$97.80
item_001,store_005,6/1/19,313.7489231,$97.80
item_001,store_005,7/1/19,315.7597071,$97.80
item_001,store_005,8/1/19,320.0446577,$97.80
item_001,store_005,9/1/19,325.4556259,$97.80
item_001,store_005,10/1/19,,$97.80
item_001,store_005,11/1/19,,$97.80
item_001,store_005,12/1/19,,$97.80
item_002,store_001,10/1/17,273.8428722,$102.00
item_002,store_001,11/1/17,296.1164906,$102.00
item_002,store_001,12/1/17,319.4306922,$102.00
item_002,store_001,1/1/18,337.5384556,$102.00
item_002,store_001,2/1/18,428.2390003,$88.41
item_002,store_001,3/1/18,394.6586547,$92.61
item_002,store_001,4/1/18,377.0136268,$92.61
item_002,store_001,5/1/18,351.2669637,$92.61
item_002,store_001,6/1/18,323.4369028,$92.78
item_002,store_001,7/1/18,302.5624924,$92.78
item_002,store_001,8/1/18,293.2832824,$92.78
item_002,store_001,9/1/18,270.9524208,$98.87
item_002,store_001,10/1/18,273.5064842,$102.08
item_002,store_001,11/1/18,295.7527417,$102.08
item_002,store_001,12/1/18,319.0383043,$102.08
item_002,store_001,1/1/19,337.1238241,$102.08
item_002,store_001,2/1/19,345.1633008,$102.08
item_002,store_001,3/1/19,341.002563,$102.08
item_002,store_001,4/1/19,325.7564771,$102.08
item_002,store_001,5/1/19,303.5102196,$102.08
item_002,store_001,6/1/19,280.224657,$102.08
item_002,store_001,7/1/19,262.1391372,$102.08
item_002,store_001,8/1/19,197.3399318,$120.82
